# Time (s), Acceleration (g)
4.790000000000000036e+00,-6.296077966753782507e-02
4.799999999999999822e+00,-1.273148593084360014e-01
4.810000000000000497e+00,-1.205648589774992174e-01
4.820000000000000284e+00,-1.182899997726435115e-01
4.830000000000000071e+00,-8.449504727386256131e-02
4.839999999999999858e+00,-3.629767099282490972e-04
4.850000000000000533e+00,3.072300693809380118e-02
4.860000000000000320e+00,3.889235439157374963e-02
4.870000000000000107e+00,1.779180766179414355e-02
4.879999999999999893e+00,1.003750569621715549e-03
4.889999999999999680e+00,2.121366570665607701e-02
4.900000000000000355e+00,-1.433139524441767731e-02
4.910000000000000142e+00,-4.619888776964987953e-02
4.919999999999999929e+00,-7.811014614057185113e-03
4.929999999999999716e+00,3.157791927876636012e-02
4.940000000000000391e+00,3.052667659696220795e-02
4.950000000000000178e+00,3.254831766682375616e-02
4.959999999999999964e+00,8.242741717711413174e-02
4.969999999999999751e+00,1.033486451195562567e-01
4.980000000000000426e+00,7.535186010664479683e-02
4.990000000000000213e+00,7.514328868299019470e-02
5.000000000000000000e+00,8.259595688943427438e-02
5.009999999999999787e+00,7.004117644387650166e-02
5.020000000000000462e+00,6.090853453271101448e-02
5.030000000000000249e+00,5.228057240646388076e-02
5.040000000000000036e+00,1.780155791488322384e-02
5.049999999999999822e+00,-1.136674714695529165e-02
5.060000000000000497e+00,1.888660451063502860e-03
5.070000000000000284e+00,-3.806123802386354726e-02
5.080000000000000071e+00,-1.278127774589399857e-01
5.089999999999999858e+00,-1.381959663073233091e-01
5.100000000000000533e+00,-1.079485259949794912e-01
5.110000000000000320e+00,-7.230912922461174563e-02
5.120000000000000107e+00,-1.436016086191821070e-02
5.129999999999999893e+00,3.932208065204534364e-02
5.139999999999999680e+00,1.091129924744643070e-01
5.150000000000000355e+00,9.901787050258945011e-02
5.160000000000000142e+00,2.758615751558696899e-02
5.169999999999999929e+00,8.134006083852370061e-02
5.179999999999999716e+00,1.293882898336001230e-01
5.190000000000000391e+00,1.274353619302817653e-01
5.200000000000000178e+00,1.477348270062663893e-01
5.209999999999999964e+00,2.005462864778071244e-02
5.219999999999999751e+00,-1.291646954368210476e-01
5.230000000000000426e+00,-2.014909124026613985e-01
5.240000000000000213e+00,-3.251155344557885574e-01
5.250000000000000000e+00,-2.677404923110385249e-01
5.259999999999999787e+00,-3.273107781462734900e-02
5.270000000000000462e+00,6.782067359459609257e-02
5.280000000000000249e+00,7.534603770328639205e-02
5.290000000000000036e+00,3.998370212009236951e-02
5.299999999999999822e+00,-5.007420445344568788e-02
5.310000000000000497e+00,-2.420188859714467872e-02
5.320000000000000284e+00,8.805601362478523986e-02
5.330000000000000071e+00,9.778569097627488882e-02
5.339999999999999858e+00,7.491936341204180616e-02
5.350000000000000533e+00,6.055672353113688428e-02
5.360000000000000320e+00,-1.354796664109704507e-02
5.370000000000000107e+00,-6.185813606702196543e-02
5.379999999999999893e+00,-6.491759910530925382e-02
5.389999999999999680e+00,-6.619183264907761363e-03
5.400000000000000355e+00,1.362479948813298813e-01
5.410000000000000142e+00,2.401320100069593289e-01
5.419999999999999929e+00,2.229083747756171741e-01
5.429999999999999716e+00,7.260313775725436847e-02
5.440000000000000391e+00,-4.654845499631951600e-02
5.450000000000000178e+00,3.644973167587692991e-03
5.459999999999999964e+00,7.773558846501690822e-02
5.469999999999999751e+00,6.736965368425382183e-02
5.480000000000000426e+00,3.861396087543783606e-02
5.490000000000000213e+00,1.109863309297139666e-01
5.500000000000000000e+00,1.755918627356561068e-01
5.509999999999999787e+00,7.474433102562946796e-02
5.520000000000000462e+00,-2.883988266418550939e-02
5.530000000000000249e+00,-3.332044440767898547e-02
5.540000000000000036e+00,1.364492232548975177e-02
5.549999999999999822e+00,3.524654045970624511e-02
5.560000000000000497e+00,-9.705304145738891108e-02
5.570000000000000284e+00,-2.199933782483863565e-01
5.580000000000000071e+00,-1.375145282117869183e-01
5.589999999999999858e+00,-6.911363491687487481e-02
5.600000000000000533e+00,-1.135166469703307868e-01
5.610000000000000320e+00,-8.657876233384795284e-02
5.620000000000000107e+00,-2.599271306966591949e-02
5.629999999999999893e+00,-2.505575682369008683e-02
